name,price,availability,type,size,rating,reviews_count
Materac piankowy Parys molet,272.0,Dostępne z dostawą,piankowy,80x190,5.0,1
Materac piankowy Parys molet,272.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Parys molet,275.0,Dostępne z dostawą,piankowy,90x200,,0
Materac piankowy Sefora molet,365.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Stratus,705.0,Dostępne z dostawą,piankowy,90x200,,0
Materac piankowy Tebe FAN,599.0,Dostępne z dostawą,piankowy,120x200,,0
Materac piankowy Tebe FAN,679.0,Dostępne z dostawą,piankowy,140x200,,0
Materac piankowy Tebe FAN,749.0,Dostępne z dostawą,piankowy,160x200,,0
Materac piankowy Tebe FAN,439.0,Dostępne z dostawą,piankowy,80x200,5.0,1
Materac piankowy Tebe FAN,475.0,Dostępne z dostawą,piankowy,90x200,,0
Materac piankowy Teo,169.0,Dostępne z dostawą,piankowy,70x160,5.0,1
Materac piankowy Teo,175.0,Dostępne z dostawą,piankowy,80x160,,0
Materac piankowy Teo,195.0,Dostępne z dostawą,piankowy,80x190,,0
Materac piankowy Teo,195.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Teo,199.0,Dostępne z dostawą,piankowy,90x200,5.0,3
Materac piankowy wysokoelastyczny HR + lateks Syriusz,1179.0,Dostępne z dostawą,piankowy,120x200,,0
Materac piankowy wysokoelastyczny HR + visco Kepler,1235.0,Dostępne z dostawą,piankowy,120x200,,0
Materac piankowy wysokoelastyczny HR + lateks Syriusz,1355.0,Dostępne z dostawą,piankowy,140x200,5.0,1
Materac piankowy wysokoelastyczny HR + visco Kepler,1415.0,Dostępne z dostawą,piankowy,140x200,,0
Materac piankowy wysokoelastyczny HR + lateks Syriusz,1519.0,Dostępne z dostawą,piankowy,160x200,,0
